sample_name,dingo2,dingo3,dingo4,dingo5,dingo6,dingo7,dingo8,dingo9,dingo10,dingo11,dingo12
BIGDESERT_cd113,0.99999,0.99999,0.99998,0.99999,0.99998,0.99997,0.99997,0.99996,0.99996,0.999958,0.99996
BIGDESERT_cd271,0.99999,0.99999,0.99998,0.99999,0.99998,0.99997,0.99997,0.99996,0.99996,0.99996,0.99996
BIGDESERT_cd272,0.99999,0.99999,0.99998,0.99999,0.99998,0.99997,0.999969,0.99996,0.99996,0.99996,0.999953
BIGDESERT_cd273,0.991418,0.99999,0.999979,0.99999,0.99998,0.99997,0.99997,0.99996,0.99996,0.99996,0.999959
BIGDESERT_cd274,0.943616,0.99999,0.956704,0.99999,0.99998,0.99997,0.99997,0.99996,0.99996,0.99996,0.99996
BIGDESERT_cd276,0.99999,0.99999,0.99998,0.99999,0.99998,0.99997,0.99997,0.99996,0.99996,0.99996,0.999959
BIGDESERT_cd278,0.99999,0.99999,0.99998,0.99999,0.99998,0.999969,0.99997,0.99996,0.99996,0.99996,0.99996
BIGDESERT_cd279,0.99999,0.99999,0.99998,0.99999,0.99998,0.999964,0.999963,0.99995,0.99996,0.99996,0.99996
BIGDESERT_cd280,0.953149,0.99999,0.965503,0.99999,0.99998,0.99997,0.99997,0.99996,0.99996,0.99996,0.99996
BIGDESERT_cd282,0.99999,0.99999,0.99998,0.99999,0.99998,0.99997,0.99997,0.99996,0.99996,0.99996,0.99996
BIGDESERT_cd283,0.99999,0.99999,0.999977,0.99999,0.99998,0.999969,0.999971,0.99996,0.999957,0.99996,0.99996
BIGDESERT_cd316,0.99999,0.99999,0.99998,0.99999,0.99998,0.99997,0.999969,0.99996,0.99996,0.99996,0.99996
BIGDESERT_cd339,0.985243,0.99999,0.99998,0.99999,0.99998,0.99997,0.99997,0.99996,0.99995,0.999959,0.99996
BIGDESERT_cd641,0.99999,0.99999,0.999977,0.99999,0.99998,0.999969,0.99997,0.99996,0.99996,0.99996,0.99996
BIGDESERT_cd642,0.991049,0.99999,0.99998,0.99999,0.99998,0.99997,0.99997,0.99996,0.99996,0.99996,0.99996
CAPTIVE_106.1,0.96614,0.99999,0.99998,0.99999,0.99998,0.99997,0.99997,0.99996,0.99996,0.99996,0.99996
CAPTIVE_144.9,0.97359,0.99999,0.99998,0.99999,0.99998,0.99997,0.99997,0.99996,0.99996,0.99996,0.99996
CAPTIVE_cd008,0.870656,0.912199,0.921864,0.929256,0.932728,0.922858,0.924274,0.925674,0.930211,0.931138,0.929402
