Sample_Name	q_value
WEST_1.42	1
WEST_3.16	0.988
WEST_6.25	1
WEST_8.31	1
WEST_8.99	1
WEST_9.17	1
WEST_9.28	1
WEST_9.56	1
WEST_10.64	1
WEST_10.71	0.994
WEST_11.7	1
WEST_11.99	0.991
WEST_12.86	1
WEST_13.1	1
WEST_14.11	1
WEST_16.46	1
WEST_16.58	1
WEST_17.99	1
WEST_21.1	1
WEST_21.4	1
SOUTH_44.2	1
WEST_48.38	1
WEST_48.4	1
WEST_56.5	1
SOUTH_64.3	0.993
SOUTH_65.1	1
WEST_66.1	1
WEST_66.5	0.999
SOUTH_85.1	1
SOUTH_86.1	1
SOUTH_89.3	0.991
SOUTH_95.4	0.998
CAPTIVE_106.1	1
SOUTH_138.4	1
WEST_142.3	1
CAPTIVE_144.9	1
WEST_149.2	1
WEST_152.3	0.979
WEST_152.4	0.992
WEST_159.9	1
WEST_184.1	1
WEST_184.3	1
WEST_205	1
SOUTH_207.2	0.981
SOUTH_209.2	1
SOUTH_209.3	1
SOUTH_214.4	1
WEST_218.3	1
WEST_219.1	0.984
BORD_13171	0
BELS_22731	0
BELS_22733	0
BELS_23569	0
TURV_24950	0
TURV_24970	0
GOLD_25025	0
LAB_25174	0
GOLD_25189	0
GOLD_25361	0
GSD_25458	0
GSD_25460	0
LAB_25672	0
LAB_25673	0
GSD_27521	0
BORD_30346	0
BORD_30347	0
BORD_30364	0
BORD_30365	0
BORD_30366	0
BELS_30646	0
BELS_31147	0
TURV_33507	0
TURV_33587	0
BORD_33883	0
BORD_33884	0
BORD_33885	0
BORD_33888	0
BORD_33890	0
MIXED_33892	0
BORD_33893	0
BORD_33894	0.015
BORD_33895	0
BORD_33896	0
MIXED_33899	0.005
BORD_33901	0
MIXED_33902	0.018
BORD_33903	0
BORD_33905	0
BORD_33909	0
MIXED_33912	0
BORD_33913	0
MIXED_33914	0
BORD_33929	0
BORD_33930	0
BORD_33938	0
BORD_33988	0
BORD_33994	0
BORD_33999	0
BORD_34016	0
MIXED_34018	0
BORD_34042	0
BORD_34051	0
BORD_34055	0
MIXED_34057	0
MIXED_34058	0
BORD_34067	0
BORD_34068	0
BORD_34070	0
BORD_34072	0.001
BORD_34073	0
BORD_34075	0
BORD_34076	0
BORD_34078	0
MIXED_34082	0
BORD_34083	0
BORD_34087	0
BORD_34094	0
MIXED_34095	0
MIXED_34097	0.035
BORD_34098	0
BORD_34100	0
BORD_34105	0
BORD_34108	0
BORD_34111	0
BORD_34117	0
BELS_34156	0
BELS_34157	0
BELS_34163	0
BELS_34287	0
BELS_34288	0
TURV_34299	0
TURV_34301	0
BELS_34517	0
BELS_34569	0
BELS_34573	0
BELS_34638	0
GSD_34649	0
PGOD_34715	0
PGOD_34716	0.003
PGOD_34717	0
PGOD_34718	0
PGOD_34719	0
PGOD_34720	0
PGOD_34721	0
PGOD_34722	0
PGOD_34736	0
PGOD_34775	0
PGOD_34777	0
PGOD_34778	0
PGOD_34779	0
PGOD_34780	0
PGOD_34781	0
PGOD_34782	0
PGOD_34783	0
PGOD_34784	0
PGOD_34785	0
PGOD_34792	0
PGOD_34793	0
PGOD_34794	0
PGOD_34809	0
PGOD_34811	0
WEST_1_14	0.98
WEST_155Q	1
WEST_161Q	1
WEST_17_12	1
WEST_170Q	1
WEST_3-100	1
CAPTIVE_cd001	1
WEST_cd002	0.971
WEST_cd005	0.998
CAPTIVE_cd007	1
CAPTIVE_cd008	0.96
CAPTIVE_cd012	1
WEST_cd014	1
CAPTIVE_cd015	1
CAPTIVE_cd016	0.795
EAST_cd017	1
CAPTIVE_cd019	1
CAPTIVE_cd020	1
EAST_cd021	0.79
HYBRID_cd022	0.472
CAPTIVE_cd023	1
CAPTIVE_cd024	1
CAPTIVE_cd025	1
HYBRID_cd026	0.52
CAPTIVE_cd027	0.734
WEST_cd028	0.997
WEST_cd029	0.958
SOUTH_cd031	0.931
WEST_cd032	1
EAST_cd033	0.965
CAPTIVE_cd034	1
WEST_cd035	0.995
MIXED_cd036	0
MIXED_cd037	0.137
WEST_cd040	1
CAPTIVE_cd041	1
CAPTIVE_cd042	1
CAPTIVE_cd043	1
CAPTIVE_cd044	1
WEST_cd045	1
CAPTIVE_cd046	1
