pop1,pop2,pop4,est_Dingo_Ancient_Nullarbor,est_Dingo_Ancient_Curracurrang,se_Dingo_Ancient_Nullarbor,se_Dingo_Ancient_Curracurrang,z_Dingo_Ancient_Nullarbor,z_Dingo_Ancient_Curracurrang,p_Dingo_Ancient_Nullarbor,p_Dingo_Ancient_Curracurrang,n_Dingo_Ancient_Nullarbor,n_Dingo_Ancient_Curracurrang,affinity
BIGDESERT_cd073,CoyoteCalifornia,AndeanFox,0.159346060885954,0.157953582794683,0.00161591727151592,0.00178351949595043,98.61028388939,88.5628574026381,0,0,184115,131029,-0.00438852711940755
BIGDESERT_cd075,CoyoteCalifornia,AndeanFox,0.158676146300704,0.15762977886658,0.00164729729672212,0.00179311325676377,96.3251421685971,87.9084342676002,0,0,184114,131037,-0.00330808673144697
BIGDESERT_cd111,CoyoteCalifornia,AndeanFox,0.159700831717153,0.157882081736697,0.00157906249550142,0.00173735220203538,101.136485840252,90.875115334548,0,0,184077,131006,-0.00572685085818067
BIGDESERT_cd112,CoyoteCalifornia,AndeanFox,0.159768288376405,0.158763632939931,0.00163478832332214,0.00183362138480108,97.7302603016713,86.5847411335436,0,0,184065,130994,-0.00315401807242057
BIGDESERT_cd113,CoyoteCalifornia,AndeanFox,0.158998327105224,0.158278130533008,0.00174477502149115,0.00191381072188594,91.1282687720608,82.7031266587505,0,0,184112,131032,-0.00226993385382755
BIGDESERT_cd114,CoyoteCalifornia,AndeanFox,0.160064303791883,0.158541983043432,0.00159904574761768,0.00176292614544953,100.099890219121,89.9311542078272,0,0,184126,131041,-0.00477806249076702
BIGDESERT_cd115,CoyoteCalifornia,AndeanFox,0.160245057828441,0.158255153268542,0.0016377615043199,0.00178971914069865,97.8439518854027,88.424574375823,0,0,184079,131001,-0.00624773388075915
BIGDESERT_cd271,CoyoteCalifornia,AndeanFox,0.158933742726089,0.157191498274683,0.00160847019999222,0.00176144599445959,98.8104987750835,89.2400327737038,0,0,183361,130499,-0.005511247522947
BIGDESERT_cd272,CoyoteCalifornia,AndeanFox,0.1594392911381,0.157993107206764,0.0015588982335761,0.00172671898140664,102.276907949499,91.4990272928246,0,0,183054,130281,-0.00455588005155337
BIGDESERT_cd273,CoyoteCalifornia,AndeanFox,0.157522792179245,0.15690128781857,0.00160531037639862,0.0017886478080081,98.1260661459337,87.7206161638386,0,0,182080,129599,-0.00197664364853803
BIGDESERT_cd274,CoyoteCalifornia,AndeanFox,0.154165384507783,0.152424025713812,0.00161786367202439,0.00174847667687019,95.2894778302793,87.1753268031314,0,0,178735,127247,-0.00567977476036046
BIGDESERT_cd276,CoyoteCalifornia,AndeanFox,0.15937809031977,0.157823908688085,0.00167980440450673,0.00183469058411344,94.8789572715589,86.0220846254294,0,0,182020,129607,-0.00489965900765574
BIGDESERT_cd278,CoyoteCalifornia,AndeanFox,0.159467395872573,0.158338766379044,0.00167744214181965,0.00186047459952585,95.0658099596726,85.1066531192618,0,0,183213,130375,-0.00355131406368197
BIGDESERT_cd279,CoyoteCalifornia,AndeanFox,0.158270703346577,0.156691903711029,0.0016270975731176,0.00178491063176881,97.2717960873867,87.7869742731887,0,0,183352,130496,-0.00501265737637022
BIGDESERT_cd280,CoyoteCalifornia,AndeanFox,0.156343254606544,0.154874336356767,0.00157088815541702,0.00175946279862002,99.5253889128977,88.0236493083214,0,0,180286,128332,-0.00471990752589023
BIGDESERT_cd282,CoyoteCalifornia,AndeanFox,0.15908001459862,0.157680151222964,0.00161118415087894,0.00177314730285922,98.7348432591255,88.9267073123045,0,0,183579,130668,-0.00441931633677812
BIGDESERT_cd283,CoyoteCalifornia,AndeanFox,0.159861295631087,0.15806465242409,0.00164885013520601,0.00180105069282782,96.9531992130466,87.7624672384505,0,0,182907,130173,-0.00565113737330118
BIGDESERT_cd316,CoyoteCalifornia,AndeanFox,0.159629982322793,0.158280660474099,0.00153852544311596,0.00169967248870197,103.755178724569,93.1242115914794,0,0,182721,130048,-0.00424434311737348
BIGDESERT_cd339,CoyoteCalifornia,AndeanFox,0.157807734204751,0.156402338698037,0.0015923909424208,0.00173255435828961,99.1011252330077,90.2726878090212,0,0,183600,130671,-0.00447278947403027
BIGDESERT_cd628,CoyoteCalifornia,AndeanFox,0.159886674163731,0.15886989046217,0.00158480308568848,0.00175918169906433,100.887407153345,90.3089718058517,0,0,184071,131005,-0.003189843957422
BIGDESERT_cd641,CoyoteCalifornia,AndeanFox,0.159996143525987,0.158926131984035,0.00167308276763157,0.00185487941926073,95.6295448266907,85.6800341487292,0,0,184106,131031,-0.00335508562467409
BIGDESERT_cd642,CoyoteCalifornia,AndeanFox,0.159485590785889,0.158399907419469,0.00160464207624148,0.00178293782012368,99.3901338792314,88.8420816652379,0,0,184153,131057,-0.00341532838883444
CAPTIVE_106.1,CoyoteCalifornia,AndeanFox,0.15470253326163,0.157715512196106,0.00163497611481033,0.00179445223694697,94.6206686814976,87.8906158374209,0,0,184071,130998,0.00964406178926586
CAPTIVE_144.9,CoyoteCalifornia,AndeanFox,0.156449948400413,0.158740758831589,0.00152965182278806,0.00169937786358846,102.278143345886,93.4111019290244,0,0,184110,131026,0.00726801386783815
CAPTIVE_cd001,CoyoteCalifornia,AndeanFox,0.153839560726583,0.15365425641734,0.0015218100248521,0.00162538776090283,101.089858927387,94.533907608602,0,0,183758,130779,-0.00060262775675722
CAPTIVE_cd007,CoyoteCalifornia,AndeanFox,0.156247447715569,0.158067963294542,0.00150900665428703,0.00166663110010251,103.54324632809,94.8428019162843,0,0,183659,130698,0.00579200228560822
CAPTIVE_cd008,CoyoteCalifornia,AndeanFox,0.150070063138628,0.152056115346794,0.00180825533324824,0.00190546187922059,82.9916330837255,79.8001350774813,0,0,183406,130505,0.0065735853083727
CAPTIVE_cd012,CoyoteCalifornia,AndeanFox,0.155656122121841,0.158286053182817,0.00164687666402893,0.00176673904996822,94.5159558828425,89.59220841678,0,0,184013,130957,0.00837711931639619
CAPTIVE_cd015,CoyoteCalifornia,AndeanFox,0.154236399969582,0.157361555150338,0.00157948994755649,0.00169565221425513,97.6494976800513,92.8029662140734,0,0,184154,131057,0.0100294470146738
CAPTIVE_cd016,CoyoteCalifornia,AndeanFox,0.139230710748119,0.141755245413406,0.00176562836905962,0.00189882510033332,78.8561812825159,74.654187680857,0,0,184144,131051,0.00898455816003877
CAPTIVE_cd019,CoyoteCalifornia,AndeanFox,0.15421071224765,0.157307146020748,0.00154715368977386,0.00167582550132458,99.6738160319355,93.8684522322952,0,0,183995,130954,0.00993982749595963
CAPTIVE_cd020,CoyoteCalifornia,AndeanFox,0.15794682566837,0.160376734627318,0.00155962495601652,0.00166086126033283,101.272312333208,96.5623911266247,0,0,184149,131056,0.00763345621257225
CAPTIVE_cd023,CoyoteCalifornia,AndeanFox,0.157613215701026,0.160558160968696,0.00150977888251598,0.00170491264176595,104.394900158076,94.173834503561,0,0,183963,130924,0.00925584601133554
CAPTIVE_cd024,CoyoteCalifornia,AndeanFox,0.157571641993736,0.159347306714695,0.00157300199063923,0.00172003292561093,100.172563627655,92.6420095464724,0,0,184075,131011,0.0056028985587499
