cluster7,tSNE1,tSNE2,UMAP1,UMAP2,sample_name,sample_id.x,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,Population,dingo_ancestry,PC_1_residual,PC_2_residual,PC_3_residual,PC_4_residual,PC_5_residual,PC_6_residual,PC_7_residual,PC_8_residual,PC_9_residual,PC_10_residual,gmm_cluster,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster8,cluster9,cluster10,cluster11,cluster12,cluster13,cluster14,cluster15,cluster16,cluster17,cluster18,cluster19,cluster20,cluster21,cluster22,cluster23,cluster24,cluster25,sample_id.y,longitude,latitude,age,data_type,population,age_type,cluster7_names
1,10.8381634911524,7.65370318210133,-11.3125155661345,-3.7495898976496,SOUTH_cd617,cd617,0.035,0.0351,0.0119,0.0572,-0.0149,0.0293,0.0027,-0.111,-0.0069,0.0048,SOU,0.853926479446463,0.0310958494381571,0.027808794474436,0.0136289656261786,0.0603632172797235,-0.0111138061822686,0.032774957179607,0.00832988066457664,-0.112365764069463,-0.00504202294288554,0.00470169993866524,3,1,1,2,3,1,6,2,6,4,3,2,9,7,5,2,14,10,1,12,12,6,11,23,17,cd617,146.4158,-38.00917,Modern,SNP Array,South,SNP Array Modern,Alpine
1,14.5749008278012,15.5722341148144,-12.422836903234,-2.08017141121762,SOUTH_cd548,cd548,0.056,0.0616,0.0404,0.1054,-0.0091,0.0053,-0.0053,0.026,-0.0033,-0.0039,SOU,0.814998858649301,0.0411439299930975,0.0380258718123236,0.0454636077225396,0.115238795418021,0.00301411906806521,0.0105509890283023,0.00577709681879616,0.0237600389969472,-0.00142731692877898,-0.00324620863752686,4,1,1,2,3,1,6,2,6,4,11,2,8,11,12,10,9,15,19,8,21,14,6,6,7,cd548,147.6467,-37.03196,Modern,SNP Array,South,SNP Array Modern,Alpine
1,18.0116129837186,15.0914542111555,-12.3974206914367,-1.55260638194446,SOUTH_65.1,65.1,0.0485,0.0534,0.042,0.1162,0.0214,-0.0159,-0.0056,0.0263,-0.0064,-0.0103,SOU,0.802385807428533,0.0300953668367196,0.024549994855158,0.0481440747714632,0.128201768835413,0.036212474261477,-0.0100735537457338,0.00724206511012246,0.0237767879152061,-0.00452255199053254,-0.00940252131585317,4,1,1,2,3,1,6,2,6,4,11,2,8,11,12,10,9,15,19,8,21,14,6,6,7,65.1,147.8652,-36.27755,Modern,SNP Array,South,SNP Array Modern,Alpine
1,15.3123051882932,15.1611149870408,-12.3696547229787,-2.05099382655089,SOUTH_86.1,86.1,0.0438,0.0487,0.0324,0.1031,0.0219,0.0104,-0.0044,0.0224,-0.0025,0.003,SOU,0.841562368323207,0.0364173232334028,0.0362370459554405,0.0351881078134325,0.108383500724323,0.028331292365054,0.0144390567748567,0.00296001429370601,0.0207565752924301,-0.000637352048829593,0.00314057767504842,4,1,1,2,3,1,6,2,6,4,11,2,8,11,12,10,9,15,19,8,21,14,6,6,7,86.1,147.9814,-37.21963,Modern,SNP Array,South,SNP Array Modern,Alpine
1,19.0288339273702,17.9055946410941,-12.5926309280578,-1.20186384972126,SOUTH_cd615,cd615,0.0561,0.0602,0.0432,0.1493,0.0215,-0.0277,-0.0018,0.0662,0.0056,-0.0091,SOU,0.831120354729267,0.0457795610639413,0.0433692860896938,0.0468825980850718,0.156374169566653,0.0301651897081878,-0.0231845373126428,0.00702118515302644,0.0643220791666101,0.00746659271830666,-0.00875767999622801,4,1,1,2,3,1,6,2,6,4,11,2,8,11,12,10,9,15,19,8,21,14,6,6,7,cd615,147.8368,-36.26684,Modern,SNP Array,South,SNP Array Modern,Alpine
1,12.7789499391609,12.3691664401576,-12.0960525566209,-2.84025175954464,SOUTH_cd287,cd287,0.0447,0.0492,0.0227,0.0965,-0.0013,2e-04,-0.0021,-0.0342,-0.0016,0.0099,SOU,0.833116525302556,0.0349411648524485,0.0332042585436902,0.0262116008782327,0.103231852405561,0.00693814179257311,0.00462438949970816,0.00644185720102918,-0.0360330928639852,0.000265838608191309,0.010203753486274,4,1,1,2,3,1,6,2,6,4,11,2,8,13,12,6,17,12,12,19,21,5,1,20,2,cd287,147.6467,-37.03196,Modern,SNP Array,South,SNP Array Modern,Alpine
1,18.8806388430626,15.5835658173631,-12.2960648411593,-1.21252378815194,Dingo_Alpine_D05,Dingo_Alpine_D05,0.0423,0.0396,0.0371,0.1152,0.0338,-0.0063,0.0177,0.04,0.0132,-0.0114,Din,0.829222494365642,0.0314456159269215,0.0219754355308472,0.0409451737815043,0.122599627811815,0.0428712057687684,-0.00169794942514419,0.0267867563700566,0.0380794589479508,0.0150673096889488,-0.011021012856705,4,1,1,2,3,1,6,2,6,4,11,2,8,11,12,10,9,15,19,8,21,14,6,6,7,Dingo_Alpine_D05,148.384041,-36.411517,Modern,WGS,Alpine,WGS Modern,Alpine
1,10.3275762903635,6.19620085138813,-11.3379880745331,-3.73463275346964,SOUTH_cd646,cd646,0.0494,0.0507,-0.0012,0.063,-0.048,0.0455,-0.0072,-0.1956,0.0162,-0.1406,SOU,0.800188982728633,0.0303773108996874,0.0209310913630314,0.00513226053706097,0.0753784955564409,-0.0327175511674033,0.0514266740758778,0.00594947097640022,-0.198172546140587,0.0180782779223767,-0.139660078110166,3,1,1,2,3,1,6,2,6,4,3,2,9,7,5,2,14,10,1,12,12,6,5,23,17,cd646,145.4635,-37.541,Modern,SNP Array,South,SNP Array Modern,Alpine
1,13.8409594799423,12.4758675340287,-12.0902441452447,-2.74184638755376,SOUTH_cd286,cd286,0.0419,0.0449,0.0235,0.0887,0.0022,-0.008,-1e-04,-0.0234,-0.0037,0.0108,SOU,0.831241038201156,0.031613514222018,0.0281197664324202,0.0271722600223427,0.0957534739286951,0.0108393714610856,-0.00349004336940399,0.00870429768484424,-0.0252752106466664,-0.00183345287330165,0.0111399883687441,4,1,1,2,3,1,6,2,6,4,11,2,8,13,12,6,17,12,12,19,21,5,1,20,2,cd286,147.6467,-37.03196,Modern,SNP Array,South,SNP Array Modern,Alpine
1,8.17698809787078,6.36557671581094,-11.245519944439,-3.82984705905614,SOUTH_cd651,cd651,0.0435,0.0446,0.0024,0.0556,-0.0101,0.0258,-0.0061,-0.1235,-0.0013,-0.0252,SOU,0.771847380316026,0.0165036680155221,0.0029761639167986,0.0111600765337246,0.072838709913125,0.0112456692795057,0.0330197299446176,0.0110153654065493,-0.126709013035165,0.000588984767448343,-0.0237125112238525,3,1,1,2,3,1,6,2,6,4,3,2,9,7,5,2,14,10,1,12,12,6,11,23,17,cd651,145.6706,-37.53986,Modern,SNP Array,South,SNP Array Modern,Alpine
