,Longitude,Latitude
0,113.725,-26.397
1,113.775,-24.139
2,114.675,-28.257
3,114.708,-27.12
4,114.728,-25.992
5,114.745,-24.866
6,114.76,-23.74
7,114.773,-22.616
8,115.701,-33.593
9,115.646,-31.274
10,115.649,-30.123
11,115.665,-28.979
12,115.688,-27.839
13,115.716,-26.703
14,115.727,-25.578
15,115.735,-24.455
16,115.742,-23.333
17,115.746,-22.212
18,116.784,-34.325
19,116.716,-33.158
20,116.679,-31.997
21,116.665,-30.843
22,116.666,-29.694
23,116.678,-28.551
24,116.697,-27.413
25,116.719,-26.279
26,116.721,-25.156
27,116.721,-24.035
28,116.72,-22.916
29,116.717,-21.798
30,117.893,-35.051
31,117.792,-33.879
32,117.729,-32.714
33,117.695,-31.556
34,117.68,-30.404
35,117.679,-29.257
36,117.687,-28.116
37,117.701,-26.979
38,117.718,-25.846
39,117.711,-24.725
40,117.704,-23.607
41,117.695,-22.491
42,117.685,-21.376
43,118.799,-33.424
44,118.741,-32.262
45,118.708,-31.106
46,118.692,-29.957
47,118.688,-28.812
48,118.692,-27.673
49,118.7,-26.537
50,118.711,-25.405
51,118.697,-24.287
52,118.682,-23.171
53,118.667,-22.056
54,118.65,-20.944
55,119.804,-32.961
56,119.75,-31.802
57,119.718,-30.649
58,119.7,-29.502
59,119.693,-28.359
60,119.692,-27.222
61,119.695,-26.088
62,119.699,-24.957
63,119.678,-23.84
64,119.657,-22.726
65,119.635,-21.614
66,119.612,-20.504
67,120.887,-33.654
68,120.809,-32.491
69,120.757,-31.334
70,120.724,-30.184
71,120.704,-29.039
72,120.693,-27.899
73,120.687,-26.763
74,120.684,-25.631
75,120.682,-24.501
76,120.654,-23.386
77,120.627,-22.274
78,120.598,-21.163
79,120.57,-20.055
80,121.885,-33.172
81,121.812,-32.012
82,121.762,-30.859
83,121.728,-29.711
84,121.705,-28.569
85,121.689,-27.431
86,121.677,-26.297
87,121.668,-25.166
88,121.66,-24.038
89,121.626,-22.925
90,121.592,-21.814
91,121.558,-20.705
92,121.525,-19.597
93,122.981,-33.846
94,122.882,-32.683
95,122.813,-31.527
96,122.763,-30.376
97,122.727,-29.232
98,122.701,-28.092
99,122.68,-26.956
100,122.663,-25.824
101,122.648,-24.695
102,122.633,-23.568
103,122.592,-22.456
104,122.553,-21.346
105,122.514,-20.238
106,122.475,-19.132
107,122.437,-18.028
108,123.971,-33.347
109,123.878,-32.187
110,123.811,-31.034
111,123.761,-29.887
112,123.723,-28.745
113,123.692,-27.608
114,123.666,-26.474
115,123.643,-25.344
116,123.622,-24.217
117,123.6,-23.092
118,123.554,-21.98
119,123.509,-20.871
120,123.464,-19.764
121,123.421,-18.659
122,123.379,-17.556
123,124.873,-31.684
124,124.807,-30.534
125,124.756,-29.39
126,124.714,-28.251
127,124.679,-27.117
128,124.648,-25.986
129,124.619,-24.858
130,124.59,-23.732
131,124.561,-22.608
132,124.51,-21.498
133,124.46,-20.39
134,124.411,-19.283
135,124.363,-18.179
136,124.316,-17.076
137,125.866,-31.174
138,125.8,-30.028
139,125.746,-28.887
140,125.701,-27.751
141,125.661,-26.619
142,125.624,-25.491
143,125.589,-24.365
144,125.553,-23.241
145,125.518,-22.119
146,125.461,-21.009
147,125.406,-19.901
148,125.352,-18.795
149,125.3,-17.691
150,125.25,-16.588
151,125.201,-15.486
152,126.938,-31.805
153,126.856,-30.657
154,126.79,-29.515
155,126.733,-28.378
156,126.684,-27.245
157,126.638,-26.116
158,126.595,-24.989
159,126.553,-23.865
160,126.511,-22.743
161,126.468,-21.623
162,126.407,-20.514
163,126.347,-19.406
164,126.289,-18.3
165,126.233,-17.196
166,126.179,-16.093
167,126.126,-14.991
168,127.925,-31.279
169,127.844,-30.135
170,127.776,-28.996
171,127.716,-27.863
172,127.662,-26.733
173,127.611,-25.606
174,127.561,-24.482
175,127.513,-23.36
176,127.463,-22.24
177,127.413,-21.121
178,127.347,-20.012
179,127.283,-18.905
180,127.221,-17.799
181,127.161,-16.695
182,127.103,-15.591
183,127.047,-14.488
184,128.911,-30.746
185,128.83,-29.606
186,128.759,-28.472
187,128.695,-27.342
188,128.635,-26.215
189,128.578,-25.091
190,128.522,-23.969
191,128.466,-22.85
192,128.41,-21.731
193,128.353,-20.614
194,128.282,-19.505
195,128.214,-18.398
196,128.148,-17.292
197,128.084,-16.187
198,128.022,-15.082
199,129.99,-31.349
200,129.894,-30.208
201,129.812,-29.073
202,129.737,-27.942
203,129.669,-26.815
204,129.603,-25.691
205,129.54,-24.57
206,129.477,-23.451
207,129.415,-22.333
208,129.351,-21.217
209,129.287,-20.101
210,129.212,-18.992
211,129.139,-17.885
212,129.069,-16.778
213,129.002,-15.672
214,130.971,-30.8
215,130.875,-29.664
216,130.79,-28.534
217,130.712,-27.407
218,130.638,-26.283
219,130.567,-25.163
220,130.497,-24.044
221,130.427,-22.928
222,130.357,-21.812
223,130.287,-20.697
224,130.215,-19.583
225,130.136,-18.474
226,130.059,-17.366
227,129.986,-16.259
228,129.914,-15.152
229,129.845,-14.046
230,132.059,-31.384
231,131.95,-30.247
232,131.853,-29.116
233,131.765,-27.99
234,131.682,-26.867
235,131.602,-25.747
236,131.524,-24.629
237,131.448,-23.514
238,131.371,-22.399
239,131.295,-21.286
240,131.217,-20.173
241,131.138,-19.06
242,131.055,-17.951
243,130.974,-16.842
244,130.897,-15.735
245,130.821,-14.627
246,130.749,-13.519
247,133.161,-31.959
248,133.036,-30.821
249,132.927,-29.69
250,132.828,-28.564
251,132.736,-27.442
252,132.647,-26.323
253,132.561,-25.206
254,132.477,-24.092
255,132.394,-22.978
256,132.31,-21.866
257,132.226,-20.755
258,132.141,-19.643
259,132.056,-18.532
260,131.968,-17.423
261,131.884,-16.314
262,131.802,-15.205
263,131.723,-14.096
264,131.646,-12.987
