target,source,right,pat,wt,dof,chisq,p,f4rank,GermanShepherdDog,Dingo_Ancient_Nullarbor,Dingo_Ancient_Curracurrang,feasible,best,dofdiff,chisqdiff,p_nested,weight_GermanShepherdDog,weight_Dingo_Ancient_Nullarbor,weight_Dingo_Ancient_Curracurrang,se_GermanShepherdDog,se_Dingo_Ancient_Nullarbor,se_Dingo_Ancient_Curracurrang,z_GermanShepherdDog,z_Dingo_Ancient_Nullarbor,z_Dingo_Ancient_Curracurrang,num_sources,num_right,all_above_3,sum_above_3,rank
Dingo02,GermanShepherdDog|Dingo_Ancient_Nullarbor,CoyoteCalifornia|Zhokhov9500BP.CGG6|Germany_7k|Ireland_Neolithic.Newgrange|Russia_Baikal_7k|Dingo_Ancient_Curracurrang,0,0,4,4.03887582545556,0.400770145092877,1,0.140937254470116,0.859062745529884,NA,TRUE,NA,NA,NA,NA,0.140937254470116,0.859062745529884,NA,0.0148915213446033,0.0148915213446033,NA,9.46426165659642,57.6880444684187,NA,2,6,TRUE,2,1
Dingo03,GermanShepherdDog|Dingo_Ancient_Curracurrang,CoyoteCalifornia|Zhokhov9500BP.CGG6|Germany_7k|Ireland_Neolithic.Newgrange|Russia_Baikal_7k|Dingo_Ancient_Nullarbor,0,0,4,8.75587728036406,0.0674996077782933,1,0.0383487884521332,NA,0.961651211547867,TRUE,NA,NA,NA,NA,0.0383487884521332,NA,0.961651211547867,0.0148743072630426,NA,0.0148743072630426,2.57818987963335,NA,64.6518318158742,2,6,TRUE,2,1
Dingo04,Dingo_Ancient_Curracurrang,CoyoteCalifornia|Zhokhov9500BP.CGG6|Germany_7k|Ireland_Neolithic.Newgrange|Russia_Baikal_7k|GermanShepherdDog|Dingo_Ancient_Nullarbor,0,0,6,14.3628887255394,0.0258350033177566,0,NA,NA,1,TRUE,NA,NA,NA,NA,NA,NA,1,NA,NA,1.13739604880513e-13,NA,NA,8792012255102.63,1,7,TRUE,1,1
Dingo05,GermanShepherdDog|Dingo_Ancient_Nullarbor,CoyoteCalifornia|Zhokhov9500BP.CGG6|Germany_7k|Ireland_Neolithic.Newgrange|Russia_Baikal_7k|Dingo_Ancient_Curracurrang,0,0,4,4.26911711857823,0.370808246586326,1,0.200859324431895,0.799140675568105,NA,TRUE,NA,NA,NA,NA,0.200859324431895,0.799140675568105,NA,0.0146989544100522,0.0146989544100522,NA,13.6648715839633,54.36717832267,NA,2,6,TRUE,2,1
Dingo06,GermanShepherdDog|Dingo_Ancient_Nullarbor,CoyoteCalifornia|Zhokhov9500BP.CGG6|Germany_7k|Ireland_Neolithic.Newgrange|Russia_Baikal_7k|Dingo_Ancient_Curracurrang,0,0,4,1.73704319987639,0.783978196174982,1,0.185588610264169,0.814411389735831,NA,TRUE,NA,NA,NA,NA,0.185588610264169,0.814411389735831,NA,0.0147503333082552,0.0147503333082553,NA,12.5819943445144,55.2130838480804,NA,2,6,TRUE,2,1
Dingo07,GermanShepherdDog|Dingo_Ancient_Nullarbor,CoyoteCalifornia|Zhokhov9500BP.CGG6|Germany_7k|Ireland_Neolithic.Newgrange|Russia_Baikal_7k|Dingo_Ancient_Curracurrang,0,0,4,5.86321465730923,0.209599021092304,1,0.0511881392835116,0.948811860716488,NA,TRUE,NA,NA,NA,NA,0.0511881392835116,0.948811860716488,NA,0.0111892843451087,0.0111892843451087,NA,4.57474649001015,84.7964741490596,NA,2,6,TRUE,2,1
Dingo08,GermanShepherdDog|Dingo_Ancient_Nullarbor,CoyoteCalifornia|Zhokhov9500BP.CGG6|Germany_7k|Ireland_Neolithic.Newgrange|Russia_Baikal_7k|Dingo_Ancient_Curracurrang,0,0,4,6.15601599928628,0.187795933492994,1,0.191779730536711,0.808220269463289,NA,TRUE,NA,NA,NA,NA,0.191779730536711,0.808220269463289,NA,0.016237172342745,0.016237172342745,NA,11.8111532284376,49.7759247979167,NA,2,6,TRUE,2,1
Dingo09,GermanShepherdDog|Dingo_Ancient_Nullarbor,CoyoteCalifornia|Zhokhov9500BP.CGG6|Germany_7k|Ireland_Neolithic.Newgrange|Russia_Baikal_7k|Dingo_Ancient_Curracurrang,0,0,4,2.75852931650807,0.599012276891798,1,0.0614770765960612,0.938522923403939,NA,TRUE,NA,NA,NA,NA,0.0614770765960612,0.938522923403939,NA,0.0134586201455658,0.0134586201455658,NA,4.56785880953152,69.7339633077582,NA,2,6,TRUE,2,1
Dingo10,Dingo_Ancient_Curracurrang,CoyoteCalifornia|Zhokhov9500BP.CGG6|Germany_7k|Ireland_Neolithic.Newgrange|Russia_Baikal_7k|GermanShepherdDog|Dingo_Ancient_Nullarbor,0,0,6,15.2210641644269,0.0186052883716015,0,NA,NA,1,TRUE,NA,NA,NA,NA,NA,NA,1,NA,NA,1.13739604880513e-13,NA,NA,8792012255102.63,1,7,TRUE,1,1
Dingo12,GermanShepherdDog|Dingo_Ancient_Nullarbor,CoyoteCalifornia|Zhokhov9500BP.CGG6|Germany_7k|Ireland_Neolithic.Newgrange|Russia_Baikal_7k|Dingo_Ancient_Curracurrang,0,0,4,3.87709058052265,0.422895307488974,1,0.135305256199557,0.864694743800443,NA,TRUE,NA,NA,NA,NA,0.135305256199557,0.864694743800443,NA,0.0144308188951108,0.0144308188951108,NA,9.37613154062923,59.9200052391625,NA,2,6,TRUE,2,1
Dingo13,GermanShepherdDog|Dingo_Ancient_Nullarbor,CoyoteCalifornia|Zhokhov9500BP.CGG6|Germany_7k|Ireland_Neolithic.Newgrange|Russia_Baikal_7k|Dingo_Ancient_Curracurrang,0,0,4,3.68394513963643,0.450465317351898,1,0.143335593295827,0.856664406704173,NA,TRUE,NA,NA,NA,NA,0.143335593295827,0.856664406704173,NA,0.0149929369243203,0.0149929369243203,NA,9.56020785115958,57.1378650512804,NA,2,6,TRUE,2,1
Dingo14,GermanShepherdDog|Dingo_Ancient_Nullarbor,CoyoteCalifornia|Zhokhov9500BP.CGG6|Germany_7k|Ireland_Neolithic.Newgrange|Russia_Baikal_7k|Dingo_Ancient_Curracurrang,0,0,4,2.66767326541464,0.614883109036273,1,0.120752510906828,0.879247489093172,NA,TRUE,NA,NA,NA,NA,0.120752510906828,0.879247489093172,NA,0.014263178736494,0.0142631787364939,NA,8.46603082928977,61.6445678299971,NA,2,6,TRUE,2,1
Dingo15,GermanShepherdDog|Dingo_Ancient_Nullarbor,CoyoteCalifornia|Zhokhov9500BP.CGG6|Germany_7k|Ireland_Neolithic.Newgrange|Russia_Baikal_7k|Dingo_Ancient_Curracurrang,0,0,4,6.04257387004687,0.195991311359289,1,0.14112761309077,0.85887238690923,NA,TRUE,NA,NA,NA,NA,0.14112761309077,0.85887238690923,NA,0.0152802347818178,0.0152802347818178,NA,9.2359584198732,56.2080621909825,NA,2,6,TRUE,2,1
Dingo16,GermanShepherdDog|Dingo_Ancient_Nullarbor,CoyoteCalifornia|Zhokhov9500BP.CGG6|Germany_7k|Ireland_Neolithic.Newgrange|Russia_Baikal_7k|Dingo_Ancient_Curracurrang,0,0,4,2.30514760104134,0.679832008380342,1,0.12888972827942,0.87111027172058,NA,TRUE,NA,NA,NA,NA,0.12888972827942,0.87111027172058,NA,0.0150640961489515,0.0150640961489516,NA,8.55608773370658,57.8269192593548,NA,2,6,TRUE,2,1
Dingo17,GermanShepherdDog|Dingo_Ancient_Nullarbor,CoyoteCalifornia|Zhokhov9500BP.CGG6|Germany_7k|Ireland_Neolithic.Newgrange|Russia_Baikal_7k|Dingo_Ancient_Curracurrang,0,0,4,4.01403155060642,0.404110216496611,1,0.15304389649152,0.84695610350848,NA,TRUE,NA,NA,NA,NA,0.15304389649152,0.84695610350848,NA,0.0147606642813446,0.0147606642813445,NA,10.3683610421887,57.3792674479371,NA,2,6,TRUE,2,1
Dingo18,GermanShepherdDog|Dingo_Ancient_Nullarbor,CoyoteCalifornia|Zhokhov9500BP.CGG6|Germany_7k|Ireland_Neolithic.Newgrange|Russia_Baikal_7k|Dingo_Ancient_Curracurrang,0,0,4,10.5690045011674,0.0318596293561638,1,0.196886764155503,0.803113235844497,NA,TRUE,NA,NA,NA,NA,0.196886764155503,0.803113235844497,NA,0.0133918620219645,0.0133918620219646,NA,14.7019707814031,59.9702442070622,NA,2,6,TRUE,2,1
