Sample_Name,Sample_ID,Longitude,Latitude,Age,Data_Type,Population
BIGDESERT_cd073,cd073,140.461,-35.60562,Modern,SNP Array,Mallee
BIGDESERT_cd111,cd111,141.3819,-35.31353,Modern,SNP Array,Mallee
BIGDESERT_cd112,cd112,141.9265,-35.88095,Modern,SNP Array,Mallee
BIGDESERT_cd113,cd113,140.8293,-35.83782,Modern,SNP Array,Mallee
BIGDESERT_cd114,cd114,142.0586,-35.41392,Modern,SNP Array,Mallee
BIGDESERT_cd075,cd075,140.8041,-35.66905,Modern,SNP Array,Mallee
BIGDESERT_cd115,cd115,141.4384,-35.97509,Modern,SNP Array,Mallee
BIGDESERT_cd642,cd642,141.921752,-35.698,Modern,SNP Array,Mallee
BIGDESERT_cd628,cd628,140.7544,-35.64884,Modern,SNP Array,Mallee
BIGDESERT_cd641,cd641,141.921752,-35.698,Modern,SNP Array,Mallee
BIGDESERT_cd280,cd280,141.4381,-35.9597,Modern,SNP Array,Mallee
BIGDESERT_cd271,cd271,141.6881,-35.2826,Modern,SNP Array,Mallee
BIGDESERT_cd272,cd272,142.0876,-35.4682,Modern,SNP Array,Mallee
BIGDESERT_cd273,cd273,141.1394,-35.3603,Modern,SNP Array,Mallee
BIGDESERT_cd274,cd274,141.2952,-35.341,Modern,SNP Array,Mallee
BIGDESERT_cd276,cd276,142.0579,-35.3028,Modern,SNP Array,Mallee
BIGDESERT_cd278,cd278,141.4399,-35.9031,Modern,SNP Array,Mallee
BIGDESERT_cd279,cd279,142.0601,-35.4293,Modern,SNP Array,Mallee
BIGDESERT_cd282,cd282,140.461,-35.6065,Modern,SNP Array,Mallee
BIGDESERT_cd283,cd283,141.597,-35.2781,Modern,SNP Array,Mallee
BIGDESERT_cd316,cd316,140.2224,-35.9827,Modern,SNP Array,Mallee
BIGDESERT_cd339,cd339,140.8036,-35.67556,Modern,SNP Array,Mallee
CAPTIVE_106.1,106.1,153.4273,-28.04843,Modern,SNP Array,Captive
CAPTIVE_144.9,144.9,148.2484,-35.77729,Modern,SNP Array,Captive
CAPTIVE_cd001,cd001,,,Modern,SNP Array,Captive
CAPTIVE_cd007,cd007,,,Modern,SNP Array,Captive
CAPTIVE_cd012,cd012,,,Modern,SNP Array,Captive
CAPTIVE_cd015,cd015,,,Modern,SNP Array,Captive
CAPTIVE_cd019,cd019,,,Modern,SNP Array,Captive
CAPTIVE_cd020,cd020,,,Modern,SNP Array,Captive
CAPTIVE_cd023,cd023,,,Modern,SNP Array,Captive
CAPTIVE_cd024,cd024,,,Modern,SNP Array,Captive
CAPTIVE_cd025,cd025,,,Modern,SNP Array,Captive
CAPTIVE_cd034,cd034,,,Modern,SNP Array,Captive
CAPTIVE_cd041,cd041,,,Modern,SNP Array,Captive
CAPTIVE_cd042,cd042,,,Modern,SNP Array,Captive
CAPTIVE_cd043,cd043,,,Modern,SNP Array,Captive
CAPTIVE_cd044,cd044,,,Modern,SNP Array,Captive
CAPTIVE_cd046,cd046,,,Modern,SNP Array,Captive
CAPTIVE_cd047,cd047,,,Modern,SNP Array,Captive
CAPTIVE_cd048,cd048,,,Modern,SNP Array,Captive
CAPTIVE_cd049,cd049,,,Modern,SNP Array,Captive
CAPTIVE_cd050,cd050,,,Modern,SNP Array,Captive
CAPTIVE_cd052,cd052,,,Modern,SNP Array,Captive
CAPTIVE_cd071,cd071,,,Modern,SNP Array,Captive
CAPTIVE_cd077,cd077,,,Modern,SNP Array,Captive
CAPTIVE_cd085,cd085,,,Modern,SNP Array,Captive
CAPTIVE_cd090,cd090,,,Modern,SNP Array,Captive
CAPTIVE_cd094,cd094,,,Modern,SNP Array,Captive
CAPTIVE_cd098,cd098,,,Modern,SNP Array,Captive
CAPTIVE_cd099,cd099,,,Modern,SNP Array,Captive
CAPTIVE_cd100,cd100,,,Modern,SNP Array,Captive
CAPTIVE_cd101,cd101,,,Modern,SNP Array,Captive
CAPTIVE_cd102,cd102,,,Modern,SNP Array,Captive
CAPTIVE_cd104,cd104,,,Modern,SNP Array,Captive
CAPTIVE_cd106,cd106,,,Modern,SNP Array,Captive
CAPTIVE_cd109,cd109,,,Modern,SNP Array,Captive
CAPTIVE_cd016,cd016,,,Modern,SNP Array,Captive
CAPTIVE_cd027,cd027,,,Modern,SNP Array,Captive
CAPTIVE_cd087,cd087,,,Modern,SNP Array,Captive
CAPTIVE_cd127,cd127,,,Modern,SNP Array,Captive
CAPTIVE_cd051,cd051,,,Modern,SNP Array,Captive
CAPTIVE_cd008,cd008,,,Modern,SNP Array,Captive
CAPTIVE_cd103,cd103,,,Modern,SNP Array,Captive
CAPTIVE_cd566,cd566,,,Modern,SNP Array,Captive
CAPTIVE_cd652,cd652,,,Modern,SNP Array,Captive
CAPTIVE_cd667,cd667,,,Modern,SNP Array,Captive
CAPTIVE_cd627,cd627,,,Modern,SNP Array,Captive
CAPTIVE_cd629,cd629,151.2892,-33.47553,Modern,SNP Array,Captive
CAPTIVE_cd172,cd172,,,Modern,SNP Array,Captive
CAPTIVE_cd180,cd180,,,Modern,SNP Array,Captive
CAPTIVE_cd304,cd304,,,Modern,SNP Array,Captive
CAPTIVE_cd306,cd306,,,Modern,SNP Array,Captive
CAPTIVE_cd308,cd308,,,Modern,SNP Array,Captive
CAPTIVE_cd310,cd310,,,Modern,SNP Array,Captive
CAPTIVE_cd313,cd313,,,Modern,SNP Array,Captive
CAPTIVE_cd317,cd317,,,Modern,SNP Array,Captive
CAPTIVE_cd344,cd344,,,Modern,SNP Array,Captive
CAPTIVE_cd169,cd169,,,Modern,SNP Array,Captive
CAPTIVE_cd175,cd175,,,Modern,SNP Array,Captive
CAPTIVE_cd233,cd233,,,Modern,SNP Array,Captive
CAPTIVE_cd258,cd258,,,Modern,SNP Array,Captive
CAPTIVE_cd296,cd296,,,Modern,SNP Array,Captive
HYBRID_cd022,cd022,,,Modern,SNP Array,Dingo x Dog Hybrid
HYBRID_cd026,cd026,,,Modern,SNP Array,Dingo x Dog Hybrid
HYBRID_cd076,cd076,,,Modern,SNP Array,Dingo x Dog Hybrid
HYBRID_cd630,cd630,,,Modern,SNP Array,Dingo x Dog Hybrid
HYBRID_cd648,cd648,,,Modern,SNP Array,Dingo x Dog Hybrid
HYBRID_cd661,cd661,,,Modern,SNP Array,Dingo x Dog Hybrid
HYBRID_cd664,cd664,,,Modern,SNP Array,Dingo x Dog Hybrid
HYBRID_cd213,cd213,,,Modern,SNP Array,Dingo x Dog Hybrid
EAST_cd074,cd074,150.6042,-34.35397,Modern,SNP Array,East
EAST_cd132,cd132,152.4607,-30.9439,Modern,SNP Array,East
EAST_cd133,cd133,152.9797,-30.76669,Modern,SNP Array,East
EAST_cd134,cd134,152.9797,-30.76669,Modern,SNP Array,East
EAST_cd135,cd135,152.9746,-30.79855,Modern,SNP Array,East
EAST_cd033,cd033,152.0989,-27.47943,Modern,SNP Array,East
EAST_cd061,cd061,152.9058,-30.53715,Modern,SNP Array,East
EAST_cd063,cd063,152.6833,-29.9,Modern,SNP Array,East
EAST_cd066,cd066,,,Modern,SNP Array,East
EAST_cd137,cd137,152.5096,-30.83572,Modern,SNP Array,East
EAST_cd138,cd138,152.7936,-31.50689,Modern,SNP Array,East
EAST_cd021,cd021,152.8616,-27.5227,Modern,SNP Array,East
EAST_cd060,cd060,153.4535,-29.00777,Modern,SNP Array,East
EAST_cd096,cd096,,,Modern,SNP Array,East
EAST_cd097,cd097,152.8487,-26.70643,Modern,SNP Array,East
EAST_cd136,cd136,152.5096,-30.83572,Modern,SNP Array,East
EAST_cd017,cd017,152.851,-31.04978,Modern,SNP Array,East
EAST_cd110,cd110,152.262,-32.00052,Modern,SNP Array,East
EAST_cd059,cd059,153.0005,-30.05752,Modern,SNP Array,East
EAST_cd517,cd517,,,Modern,SNP Array,East
EAST_cd553,cd553,153.0948,-30.16555,Modern,SNP Array,East
EAST_cd355,cd355,153.0009,-30.41468,Modern,SNP Array,East
EAST_cd568,cd568,152.6,-27.87,Modern,SNP Array,East
EAST_cd550,cd550,151.9623,-32.0282,Modern,SNP Array,East
EAST_cd551,cd551,151.9623,-32.0282,Modern,SNP Array,East
EAST_cd354,cd354,153.0009,-30.41468,Modern,SNP Array,East
EAST_cd570,cd570,153.0961,-30.21338,Modern,SNP Array,East
EAST_cd523,cd523,152.854,-26.61278,Modern,SNP Array,East
EAST_cd522,cd522,150.1595,-32.80933,Modern,SNP Array,East
EAST_cd559,cd559,152.1842,-32.65726,Modern,SNP Array,East
EAST_cd526,cd526,152.7,-30.28647,Modern,SNP Array,East
EAST_cd520,cd520,150.1595,-32.80933,Modern,SNP Array,East
EAST_cd554,cd554,150.7384,-34.30877,Modern,SNP Array,East
EAST_cd527,cd527,152.7,-30.28492,Modern,SNP Array,East
EAST_cd519,cd519,152.4618,-30.25148,Modern,SNP Array,East
EAST_cd521,cd521,150.1595,-32.80933,Modern,SNP Array,East
EAST_cd351,cd351,150.1596,-32.80897,Modern,SNP Array,East
EAST_cd353,cd353,153.0009,-30.41468,Modern,SNP Array,East
EAST_cd552,cd552,151.9478,-32.16119,Modern,SNP Array,East
EAST_cd718,cd718,152.1795,-32.63979,Modern,SNP Array,East
EAST_cd647,cd647,152.6474,-31.29596,Modern,SNP Array,East
EAST_cd645,cd645,150.5735,-34.32421,Modern,SNP Array,East
EAST_cd650,cd650,153.1219,-29.3192,Modern,SNP Array,East
EAST_cd637,cd637,152.8055,-30.68087,Modern,SNP Array,East
EAST_cd654,cd654,152.624,-25.4949,Modern,SNP Array,East
EAST_cd649,cd649,152.7676,-30.69803,Modern,SNP Array,East
EAST_cd714,cd714,152.183,-32.66153,Modern,SNP Array,East
EAST_cd663,cd663,152.5625,-25.83622,Modern,SNP Array,East
EAST_cd655,cd655,153.4389,-28.69645,Modern,SNP Array,East
EAST_cd656,cd656,153.4305,-28.65694,Modern,SNP Array,East
EAST_cd659,cd659,151.6435,-28.21185,Modern,SNP Array,East
EAST_cd634,cd634,152.4339,-27.23481,Modern,SNP Array,East
EAST_cd702,cd702,150.5204,-34.38886,Modern,SNP Array,East
EAST_cd631,cd631,151.7612,-32.79921,Modern,SNP Array,East
EAST_cd636,cd636,150.58,-34.32,Modern,SNP Array,East
EAST_cd141,cd141,152.8116,-31.47985,Modern,SNP Array,East
EAST_cd143,cd143,152.9005,-31.49984,Modern,SNP Array,East
EAST_cd140,cd140,152.8252,-31.51708,Modern,SNP Array,East
EAST_cd146,cd146,152.9896,-30.77168,Modern,SNP Array,East
EAST_cd142,cd142,152.9664,-31.26074,Modern,SNP Array,East
EAST_cd139,cd139,152.8218,-31.51257,Modern,SNP Array,East
EAST_cd144,cd144,152.1699,-32.0432,Modern,SNP Array,East
EAST_cd623,cd623,,,Modern,SNP Array,East
