Sample_Name,Population,Dingo_Ancestry,q_value,Longitude,Latitude,geometry,south_of_fence
BIGDESERT_cd073,BIGDESERT,0.865497822,1.0,140.461,-35.60562,POINT (140.461 -35.60562),True
BIGDESERT_cd075,BIGDESERT,0.868461126,1.0,140.8041,-35.66905,POINT (140.8041 -35.66905),True
BIGDESERT_cd111,BIGDESERT,0.875032917,1.0,141.3819,-35.31353,POINT (141.3819 -35.31353),True
BIGDESERT_cd112,BIGDESERT,0.879776305,1.0,141.9265,-35.88095,POINT (141.9265 -35.88095),True
BIGDESERT_cd113,BIGDESERT,0.872772721,1.0,140.8293,-35.83782,POINT (140.8293 -35.83782),True
BIGDESERT_cd114,BIGDESERT,0.874459058,1.0,142.0586,-35.41392,POINT (142.0586 -35.41392),True
BIGDESERT_cd115,BIGDESERT,0.884374768,1.0,141.4384,-35.97509,POINT (141.4384 -35.97509),True
BIGDESERT_cd271,BIGDESERT,0.865663618,1.0,141.6881,-35.2826,POINT (141.6881 -35.2826),True
BIGDESERT_cd272,BIGDESERT,0.874861569,1.0,142.0876,-35.4682,POINT (142.0876 -35.4682),True
BIGDESERT_cd273,BIGDESERT,0.865314903,1.0,141.1394,-35.3603,POINT (141.1394 -35.3603),True
BIGDESERT_cd274,BIGDESERT,0.830595,1.0,141.2952,-35.341,POINT (141.2952 -35.341),True
BIGDESERT_cd276,BIGDESERT,0.879929805,1.0,142.0579,-35.3028,POINT (142.0579 -35.3028),True
BIGDESERT_cd278,BIGDESERT,0.879108558,1.0,141.4399,-35.9031,POINT (141.4399 -35.9031),True
BIGDESERT_cd279,BIGDESERT,0.864087656,1.0,142.0601,-35.4293,POINT (142.0601 -35.4293),True
BIGDESERT_cd280,BIGDESERT,0.860877716,1.0,141.4381,-35.9597,POINT (141.4381 -35.9597),True
BIGDESERT_cd282,BIGDESERT,0.866250471,1.0,140.461,-35.6065,POINT (140.461 -35.6065),True
BIGDESERT_cd283,BIGDESERT,0.87991075,1.0,141.597,-35.2781,POINT (141.597 -35.2781),True
BIGDESERT_cd316,BIGDESERT,0.877406955,1.0,140.2224,-35.9827,POINT (140.2224 -35.9827),True
BIGDESERT_cd339,BIGDESERT,0.844624635,1.0,140.8036,-35.67556,POINT (140.8036 -35.67556),True
BIGDESERT_cd628,BIGDESERT,0.879252924,1.0,140.7544,-35.64884,POINT (140.7544 -35.64884),True
BIGDESERT_cd641,BIGDESERT,0.881616654,1.0,141.921752,-35.698,POINT (141.921752 -35.698),True
BIGDESERT_cd642,BIGDESERT,0.871096857,1.0,141.921752,-35.698,POINT (141.921752 -35.698),True
CAPTIVE_106.1,CAPTIVE,0.85603993,1.0,153.4273,-28.04843,POINT (153.4273 -28.04843),True
CAPTIVE_144.9,CAPTIVE,0.887350711,1.0,148.2484,-35.77729,POINT (148.2484 -35.77729),True
CAPTIVE_cd629,CAPTIVE,0.686845684,0.811,151.2892,-33.47553,POINT (151.2892 -33.47553),True
EAST_cd017,EAST,0.899406277,1.0,152.851,-31.04978,POINT (152.851 -31.04978),True
EAST_cd021,EAST,0.723705411,0.79,152.8616,-27.5227,POINT (152.8616 -27.5227),True
EAST_cd033,EAST,0.872181056,0.965,152.0989,-27.47943,POINT (152.0989 -27.47943),True
EAST_cd059,EAST,0.728518247,0.851,153.0005,-30.05752,POINT (153.0005 -30.05752),True
EAST_cd060,EAST,0.515844578,0.609,153.4535,-29.00777,POINT (153.4535 -29.00777),True
EAST_cd061,EAST,0.782334839,0.992,152.9058,-30.53715,POINT (152.9058 -30.53715),True
EAST_cd063,EAST,0.82051298,0.993,152.6833,-29.9,POINT (152.6833 -29.9),True
EAST_cd074,EAST,0.745819206,1.0,150.6042,-34.35397,POINT (150.6042 -34.35397),True
EAST_cd097,EAST,0.72507836,0.818,152.8487,-26.70643,POINT (152.8487 -26.70643),False
EAST_cd110,EAST,0.866907292,0.999,152.262,-32.00052,POINT (152.262 -32.00052),True
EAST_cd132,EAST,0.767953939,1.0,152.4607,-30.9439,POINT (152.4607 -30.9439),True
EAST_cd133,EAST,0.779253792,1.0,152.9797,-30.76669,POINT (152.9797 -30.76669),True
