target,source,right,pat,wt,dof,chisq,p,f4rank,GermanShepherdDog,Dingo_Ancient_Curracurrang,Dingo_Ancient_Nullarbor,feasible,best,dofdiff,chisqdiff,p_nested,weight_GermanShepherdDog,weight_Dingo_Ancient_Curracurrang,weight_Dingo_Ancient_Nullarbor,se_GermanShepherdDog,se_Dingo_Ancient_Curracurrang,se_Dingo_Ancient_Nullarbor,z_GermanShepherdDog,z_Dingo_Ancient_Curracurrang,z_Dingo_Ancient_Nullarbor,num_sources,num_right,all_above_3,rank
ACD_cd228,GermanShepherdDog,CoyoteCalifornia|Zhokhov9500BP.CGG6|Germany_7k|Ireland_Neolithic.Newgrange|Russia_Baikal_7k|Dingo_Ancient_Curracurrang|Dingo_Ancient_Nullarbor,0,0,6,7.65784520753723,0.264257129752367,0,1,NA,NA,TRUE,NA,NA,NA,NA,1,NA,NA,1.13739604880513e-13,NA,NA,8792012255102.63,NA,NA,1,7,TRUE,1
ACD_cd229,GermanShepherdDog,CoyoteCalifornia|Zhokhov9500BP.CGG6|Germany_7k|Ireland_Neolithic.Newgrange|Russia_Baikal_7k|Dingo_Ancient_Curracurrang|Dingo_Ancient_Nullarbor,0,0,6,10.602371819278,0.101470868233585,0,1,NA,NA,TRUE,NA,NA,NA,NA,1,NA,NA,1.13739604880513e-13,NA,NA,8792012255102.63,NA,NA,1,7,TRUE,1
ASTCD_cd218,GermanShepherdDog,CoyoteCalifornia|Zhokhov9500BP.CGG6|Germany_7k|Ireland_Neolithic.Newgrange|Russia_Baikal_7k|Dingo_Ancient_Curracurrang|Dingo_Ancient_Nullarbor,0,0,6,12.615756915275,0.0495601613023011,0,1,NA,NA,TRUE,NA,NA,NA,NA,1,NA,NA,1.13739604880513e-13,NA,NA,8792012255102.63,NA,NA,1,7,TRUE,1
ASTCD_cd219,GermanShepherdDog|Dingo_Ancient_Nullarbor,CoyoteCalifornia|Zhokhov9500BP.CGG6|Germany_7k|Ireland_Neolithic.Newgrange|Russia_Baikal_7k|Dingo_Ancient_Curracurrang,0,0,4,1.8728748687189,0.759125987801996,1,0.96366529352846,NA,0.0363347064715401,TRUE,NA,NA,NA,NA,0.96366529352846,NA,0.0363347064715401,0.0124222992542485,NA,0.0124222992542485,77.5754370269964,NA,2.9249582326004,2,6,TRUE,1
BELS_22731,GermanShepherdDog,CoyoteCalifornia|Zhokhov9500BP.CGG6|Germany_7k|Ireland_Neolithic.Newgrange|Russia_Baikal_7k|Dingo_Ancient_Curracurrang|Dingo_Ancient_Nullarbor,0,0,6,12.8007182289233,0.046311998088757,0,1,NA,NA,TRUE,NA,NA,NA,NA,1,NA,NA,1.13739604880513e-13,NA,NA,8792012255102.63,NA,NA,1,7,TRUE,1
BELS_22733,GermanShepherdDog|Dingo_Ancient_Nullarbor,CoyoteCalifornia|Zhokhov9500BP.CGG6|Germany_7k|Ireland_Neolithic.Newgrange|Russia_Baikal_7k|Dingo_Ancient_Curracurrang,0,0,4,2.60736867684846,0.62551835131715,1,0.958653461346594,NA,0.041346538653406,TRUE,NA,NA,NA,NA,0.958653461346594,NA,0.041346538653406,0.0118150865801677,NA,0.0118150865801676,81.1380817941489,NA,3.4994697984532,2,6,TRUE,1
BELS_23569,GermanShepherdDog,CoyoteCalifornia|Zhokhov9500BP.CGG6|Germany_7k|Ireland_Neolithic.Newgrange|Russia_Baikal_7k|Dingo_Ancient_Curracurrang|Dingo_Ancient_Nullarbor,0,0,6,13.3670987211014,0.0375629662054085,0,1,NA,NA,TRUE,NA,NA,NA,NA,1,NA,NA,1.13739604880513e-13,NA,NA,8792012255102.63,NA,NA,1,7,TRUE,1
BELS_30646,GermanShepherdDog|Dingo_Ancient_Nullarbor,CoyoteCalifornia|Zhokhov9500BP.CGG6|Germany_7k|Ireland_Neolithic.Newgrange|Russia_Baikal_7k|Dingo_Ancient_Curracurrang,0,0,4,4.07912684669951,0.39540309965586,1,0.938646821924699,NA,0.0613531780753009,TRUE,NA,NA,NA,NA,0.938646821924699,NA,0.0613531780753009,0.0121689270651017,NA,0.0121689270651017,77.1347232917989,NA,5.04179027017517,2,6,TRUE,1
BELS_31147,GermanShepherdDog|Dingo_Ancient_Nullarbor,CoyoteCalifornia|Zhokhov9500BP.CGG6|Germany_7k|Ireland_Neolithic.Newgrange|Russia_Baikal_7k|Dingo_Ancient_Curracurrang,0,0,4,3.07443154232375,0.545447650482394,1,0.958825826700245,NA,0.0411741732997554,TRUE,NA,NA,NA,NA,0.958825826700245,NA,0.0411741732997554,0.0118504138171523,NA,0.0118504138171522,80.910746366717,NA,3.47449244685111,2,6,TRUE,1
BELS_34156,GermanShepherdDog,CoyoteCalifornia|Zhokhov9500BP.CGG6|Germany_7k|Ireland_Neolithic.Newgrange|Russia_Baikal_7k|Dingo_Ancient_Curracurrang|Dingo_Ancient_Nullarbor,0,0,6,9.68448804920861,0.138583247621922,0,1,NA,NA,TRUE,NA,NA,NA,NA,1,NA,NA,1.13739604880513e-13,NA,NA,8792012255102.63,NA,NA,1,7,TRUE,1
